contig	pos	pvalue	adjust
1	130949	3.09664241958077e-08	0.0375667626810231
1	131084	6.02372146602959e-09	0.00730764757790647
1	38441	3.36819129736982e-08	0.0408610443144772
1	46503	1.23276644030003e-10	0.000149552444321779
1	46676	1.43087166275185e-09	0.0017358548033091
1	46948	1.43087166275185e-09	0.0017358548033091
1	48815	9.0784574436615e-09	0.0110134852554907
1	48850	9.0784574436615e-09	0.0110134852554907
1	49101	9.0784574436615e-09	0.0110134852554907
1	54358	2.8526925297239e-08	0.034607296789719
1	54456	2.8526925297239e-08	0.034607296789719
1	56070	6.2166965835943e-10	0.000754175437690451
1	67148	2.10630480529814e-08	0.0255525314302341
1	74661	6.44997593780684e-11	7.82475605907068e-05
2	107614	2.14502304501215e-09	0.00260222398194126
2	107778	1.54837483005216e-08	0.0187840318320363
2	107963	3.31885147950029e-08	0.0402624807809837
2	155652	6.57213773284612e-09	0.00797295602991361
2	156837	2.98043635667098e-09	0.00361570146391361
2	156884	2.34566287433872e-10	0.000284562918768965
2	63339	7.24819864314497e-10	0.000879311594293811
2	65174	5.58827904644882e-09	0.00677939278380416
2	71170	3.17916860600966e-08	0.0385679249853759
2	71246	3.17916860600966e-08	0.0385679249853759
2	72195	1.30976295607953e-08	0.015889323813531
2	77262	2.42006336100348e-22	2.93588776608457e-16
2	82404	1.94561124311856e-08	0.0236030855153307
2	82770	5.53142883938622e-10	0.00067104252393572
3	113620	8.42191380552594e-09	0.0102170026236048
3	59406	1.6952713230789e-10	0.000205660992923655
3	59415	1.14805940912981e-10	0.000139276253188878
3	59452	8.34680871735825e-11	0.000101258892614196
3	61343	7.50887640653934e-09	0.00910935586821116
3	79206	8.43257650560488e-10	0.0010229938024892
3	81334	1.28365827929055e-11	1.55726362322993e-05
5	25101	2.22314395253444e-12	2.6969959702974e-06
5	5718	3.57435215247492e-13	4.33620744201419e-07
5	6473	1.61053348835852e-12	1.9538106487347e-06
6	6200	2.81633894667826e-08	0.03416627511468
6	81927	3.1847443171962e-08	0.0386355664468499
6	9365	4.83501913112376e-11	5.86557928382713e-05
7	35495	5.0410496879683e-11	6.11552422371031e-05
7	35891	1.81132096221879e-17	2.19739496871092e-11
7	5810	6.01255237659816e-11	7.29409785290817e-05
7	7533	1.11036119981877e-11	1.34702913775414e-05
8	127499	1.31831698964189e-10	0.000159930966439911
8	158609	1.74341846910119e-10	0.000211501939869776
8	188258	1.30972086395808e-11	1.58888131750643e-05
8	197730	4.07894796829555e-08	0.0494835533299791
8	236734	1.11929252515152e-25	1.35786413042494e-19
8	237930	1.1332535130699e-13	1.37480083311318e-07
8	238278	6.40740427526338e-21	7.77311045951439e-15
8	240814	3.62356297408006e-11	4.39590730419035e-05
8	429799	1.87477648522229e-16	2.274375719165e-10
9	15777	5.51340102350913e-10	0.000668855488466499
9	15779	5.51340102350913e-10	0.000668855488466499
10	30156	1.64317126476393e-08	0.0199340500399204
10	34263	7.35029973263025e-09	0.00891697936914172
10	58482	8.98345781039652e-10	0.00108982369253935
10	6240	3.55995924504439e-08	0.0431874675832937
12	7622	5.62168241325628e-20	6.81991591122979e-14
13	136760	7.46471124301848e-09	0.00905577712091165
13	136761	7.46471124301848e-09	0.00905577712091165
13	79059	3.59273818575565e-08	0.0435851236635853
13	93353	7.33871212911329e-11	8.90292192587314e-05
13	94474	3.73267694598426e-10	0.000452827837363608
14	102967	2.08762829457952e-09	0.00253259582742767
14	102990	2.08762829457952e-09	0.00253259582742767
14	103000	1.01317672047684e-10	0.000122913027256287
14	103014	4.03410262160603e-11	4.89395142488825e-05
14	103027	2.29528032466829e-09	0.00278450784946971
14	116497	2.01629196866113e-08	0.0244605452032141
14	134410	7.34500385388904e-14	8.91055470032623e-08
14	134565	4.17010182095633e-10	0.000505893817358406
14	23878	1.54116341039491e-10	0.000186965468550353
14	85232	1.15363959875289e-08	0.0139953211102907
15	138692	7.30754873331889e-10	0.000886511620808215
15	138719	7.30754873331889e-10	0.000886511620808215
15	19260	2.80417908515404e-13	3.4018758362592e-07
15	19403	2.00824328776661e-09	0.00243629030333762
15	19436	3.96897670421318e-13	4.8149442438327e-07
15	194683	3.53092948548488e-15	4.28352945066856e-09
15	20938	1.21219379489731e-08	0.014705668413107
15	20939	1.21219379489731e-08	0.014705668413107
15	230981	1.82345194583506e-11	2.21211161083008e-05
15	269630	1.7350673832735e-13	2.10488832068134e-07
15	2809	2.38641547190274e-18	2.89506799766145e-12
15	6123	2.33480391748319e-14	2.83245569847515e-08
15	6247	3.21820487004322e-17	3.90414914706858e-11
15	88069	5.45352094428454e-18	6.61591166595407e-12
15	89087	6.79507055357877e-16	8.24340586672131e-10
15	9866	4.80559612541633e-10	0.00058298849115682
20	3659	3.70104002138879e-08	0.0448989819674771
20	3950	3.62947257237043e-09	0.00440307650380833
20	7207	1.28947200487612e-08	0.0156431651535544
21	11140	3.22746867341425e-08	0.0391538748380913
21	111500	1.04535819052314e-15	1.2681710620422e-09
21	116731	8.8770605434003e-13	1.07691616129234e-06
21	121806	6.35170390893555e-09	0.00770553783860562
21	125618	2.00552534571682e-08	0.0243299304552963
21	125667	5.60059766187752e-09	0.0067943370505184
21	13586	1.80460164752569e-14	2.18924346568756e-08
21	13606	1.80460164752569e-14	2.18924346568756e-08
21	143836	4.16581331657461e-09	0.00505373559593591
21	150275	4.70471425493973e-13	5.70750057480886e-07
21	154786	3.7095393728865e-10	0.00045002091425204
21	154937	3.7095393728865e-10	0.00045002091425204
21	157312	1.08743699531402e-10	0.000131921875368023
21	184835	9.63895439763687e-23	1.16934493327212e-16
21	191281	4.42293609565393e-11	5.36566280976208e-05
21	208172	8.62061067855473e-13	1.04580507416353e-06
21	230189	1.45836621405313e-09	0.00176920968074749
21	309397	5.24021677728987e-10	0.000635714278228532
21	324016	1.84901180441768e-11	2.24311942547029e-05
21	324112	5.01611333204084e-09	0.00608527280819868
21	338499	1.6658459739074e-10	0.00020209127140159
21	4397	1.24877486996354e-08	0.0151494498962192
21	47790	1.75198244816475e-17	2.12540874707882e-11
21	52728	1.78431521237649e-14	2.16463307831847e-08
21	55264	1.57528747705114e-11	1.91105212634721e-05
21	56724	5.02883761764698e-15	6.10070921166035e-09
21	58168	1.2241314846921e-15	1.48504898999679e-09
21	59758	1.238960998249e-16	1.50303934022078e-10
21	60329	1.55976407301689e-16	1.89221998636007e-10
21	61975	8.93664722904705e-14	1.08414489026823e-07
21	62660	1.91193913832501e-08	0.0231945940596329
21	62949	1.62054432166357e-08	0.0196595524110455
21	63312	5.54223504866305e-22	6.72353473811033e-16
21	6404	1.61737902657024e-19	1.96211527918856e-13
21	67287	3.7867009842957e-17	4.59381736559341e-11
21	67374	3.7867009842957e-17	4.59381736559341e-11
21	67702	7.4812240526499e-16	9.07580955335197e-10
21	68189	7.4812240526499e-16	9.07580955335197e-10
21	68278	1.45709134623778e-12	1.76766308123163e-06
21	68337	1.45709134623778e-12	1.76766308123163e-06
21	68440	1.45709134623778e-12	1.76766308123163e-06
21	68487	1.50699845972506e-09	0.00182820764642315
21	68488	1.50699845972506e-09	0.00182820764642315
21	68928	1.78313269093364e-09	0.00216319850834269
21	70121	7.4812240526499e-16	9.07580955335197e-10
